Journey_ID,Date,Time,Hour,Day_Name,Month,Month_Number,Season,ISO_Week,Origin_Area,Destination_Area,Origin_Station,Destination_Station,Route_ID,Transport_Mode,Passenger_Count,Delay_Minutes,Scheduled_Trips,Completed_Trips,Service_Frequency_Min,Distance_Km,Average_Speed_Kmh,Capacity,Occupancy_Rate,Service_Reliability_Pct,Satisfaction_Score,CO2_Baseline_Car_kg,CO2_Actual_kg,CO2_Reduction_kg,On_Time_Status,Peak_Period,Weather,Incident_Type,Accessibility_Score
J000001,2025-11-24,08:20,8,Monday,November,11,Autumn,48,Central,West,City Hall,West End,B02,Bus,76,6.3,4,4,15,9.2,19.9,71,1.0704,88.66,4.3,119.56,59.43,60.13,Delayed,Peak,Clear,,81
J000002,2025-02-22,07:05,7,Saturday,February,2,Winter,8,West,South,West End,Industrial South,M3,Metro,308,1.6,15,15,4,31.4,33.6,693,0.4444,97.12,4.4,1653.78,270.79,1382.98,On Time,Peak,Cloudy,,92
J000003,2025-07-06,08:30,8,Sunday,July,7,Summer,27,Central,North,Museum District,University,B03,Bus,76,4.6,4,4,16,10.1,26.6,84,0.9048,91.72,4.1,131.26,65.25,66.01,On Time,Peak,Cloudy,,83
J000004,2025-07-22,19:45,19,Tuesday,July,7,Summer,30,North,South,Riverside North,Industrial South,B02,Bus,69,20.1,4,4,14,23.9,25.1,59,1.1695,63.82,2.3,282.0,140.17,141.82,Delayed,Peak,Clear,Traffic,84
J000005,2025-05-17,18:30,18,Saturday,May,5,Spring,20,North,East,North Park,Innovation Hub,B04,Bus,75,4.7,9,9,7,19.5,18.2,71,1.0563,91.54,4.4,250.09,124.31,125.77,On Time,Peak,Heatwave,,88
J000006,2025-06-07,09:15,9,Saturday,June,6,Summer,23,Central,East,Central Square,Harbour East,C1,Bike Share,30,5.5,20,20,3,4.3,14.1,32,0.9375,90.1,3.9,22.06,0.0,22.06,Delayed,Peak,Clear,,55
J000007,2025-02-02,10:55,10,Sunday,February,2,Winter,5,Central,West,Central Square,Airport,M2,Metro,255,2.0,15,15,4,8.8,42.5,669,0.3812,96.4,4.5,383.72,62.83,320.89,On Time,Interpeak,Clear,,88
J000008,2025-08-28,19:00,19,Thursday,August,8,Summer,35,Central,West,City Hall,Expo Centre,T3,Tram,146,4.8,7,7,9,7.5,20.2,174,0.8391,91.36,4.1,187.25,38.33,148.92,On Time,Peak,Rain,,97
J000009,2025-05-02,08:45,8,Friday,May,5,Spring,18,Central,North,City Hall,North Park,M4,Metro,332,5.5,9,9,7,14.4,32.9,732,0.4536,90.1,4.4,817.52,133.86,683.65,Delayed,Peak,Heatwave,,90
J000010,2025-09-29,08:50,8,Monday,September,9,Autumn,40,Central,West,Museum District,Hilltop,B02,Bus,59,4.4,4,4,15,21.9,21.6,62,0.9516,92.08,4.1,220.95,109.83,111.12,On Time,Peak,Clear,,88
